Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
ESM-GearNet,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,IBM Research,HEC Montreal,CIFAR AI Research",Canada,Anglosphere,Era LLM (2023-2026),Biology,0.06163879118980356,-2.6207379412186484,13.924509,-36.51373
PaLM 2,Google,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.2153895013657583,0.9247956049392423,10.605291,28.617466
StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",United States of America,Anglosphere,Era LLM (2023-2026),Language,2.01621251092968,0.8354317557830532,12.25389,-2.6234987
WizardLM-7B,"Microsoft,Peking University",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.875788218589389,0.8319213644331006,11.77097,-2.0484097
LLaVA,"University of Wisconsin Madison,Microsoft Research,Columbia University",United States of America,Anglosphere,Era LLM (2023-2026),Multimodal,1.366513853001408,-0.10747804605218345,32.774536,4.688744
DINOv2,"Facebook AI Research,INRIA",United States of America,Anglosphere,Era LLM (2023-2026),Vision,0.8176844920922071,2.1313181500098866,-26.213167,17.920296
Incoder-6.7B,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago",United States of America,Anglosphere,Era LLM (2023-2026),Language,1.729266453786046,0.7364906556587691,10.461238,-1.7961268
DiffDock-PP,"Technical University of Munich,Massachusetts Institute of Technology (MIT)",Germany,Europa,Era LLM (2023-2026),Biology,-0.9884279119434305,-2.753905997982585,14.424011,-35.107986
Cerebras-GPT-13B,Cerebras Systems,United States of America,Anglosphere,Era LLM (2023-2026),Language,2.004086464716872,0.4220876280645282,8.783162,-3.4233646
Segment Anything Model,Meta AI,United States of America,Anglosphere,Era LLM (2023-2026),Vision,0.732880115232166,2.2362601595883396,-26.272276,17.637074
