Model,Organization,Country (of organization),bloque_geopolitico,era_tecnologica,Domain,pca_1,pca_2,tsne_1,tsne_2
Fold2Seq,"IBM,Texas A&M",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.02300804983801274,-0.5853569437821592,17.39463,-32.215096
EfficientNetV2-XL,"Google,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.27622077049199567,1.9998733928007104,-25.332989,17.671038
StyleGAN3-T,"NVIDIA,Aalto University",United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,0.7182169199451198,1.574352791619887,15.863605,13.049309
StyleGAN3-R,"NVIDIA,Aalto University",United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,0.7035289079852829,1.5715040721120541,15.8553295,13.038156
ALIGN,Google Research,United States of America,Anglosphere,Era Transformer (2017-2022),Multimodal,1.33596520284797,1.7753482942811005,32.759518,7.388038
Denoising Diffusion Probabilistic Models (LSUN Bedroom),University of California (UC) Berkeley,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.605245260417896,0.2594884561178089,-26.788506,12.808172
Delta RNN (+ full context),"IDSIA,SUPSI,King Abdullah University of Science and Technology (KAUST)",Switzerland,Europa,Era Transformer (2017-2022),Language,-0.5095475284675253,-2.057430157568536,-17.29154,-19.2321
DeBERTa,Microsoft,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.5358860340583624,1.0338121553854582,12.285877,-0.72801477
CoAtNet,"Google,Google Research,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.5704096251776201,1.824401065200757,-24.794353,20.03273
EMDR,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind",Canada,Anglosphere,Era Transformer (2017-2022),Language,0.5511802179502785,-1.6618369426165889,-3.1602907,-12.609318
ViT-G/14,"Google Brain,Google Research",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.5644666103853317,1.8023795172638466,-24.76848,20.009003
AFP+FPI (PTB),University of Sheffield,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,-1.2551668601198898,-2.7173835480740878,-20.590254,-18.76857
AFP+FPI (WT2),University of Sheffield,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,-0.8423466608063177,-2.6457186352545983,-20.352787,-19.185055
GPT2-Large+LHOPT,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.1628247096060849,0.033672464009164765,2.5271425,26.608435
ByT5-XXL,"Google,Google Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.9075924121888177,0.7671292370314278,11.064593,-2.3835742
Transformer local-attention (NesT-B),"Google Cloud,Google Research",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.0821581356073858,2.054198060449608,-25.242214,17.357853
CogView,"Tsinghua University,Alibaba DAMO Academy",China,China,Era Transformer (2017-2022),Image generation,0.9117566443231384,-0.5057849996725351,16.924423,12.771459
ConSERT,"Meituan University,Beijing University of Posts and Telecommunications",China,China,Era Transformer (2017-2022),Language,0.3545310191136034,-1.4632565996287301,-3.1802616,-11.963168
MedBERT,"Peng Cheng Laboratory,University of Texas at Houston",China,China,Era Transformer (2017-2022),Medicine,-0.7836886018214214,-1.3474624132478994,-13.888261,-19.661085
ADM,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.3224031743249163,1.9930587936682753,15.752256,13.328438
ProtT5-XXL,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google,Seoul National University",Germany,Europa,Era Transformer (2017-2022),Biology,1.0614427002727929,-1.93442826234952,9.887097,-36.47854
ProtBERT-UniRef,"Technical University of Munich,NVIDIA,Seoul National University,Google,Oak Ridge National Laboratory,Med AI Technology",Germany,Europa,Era Transformer (2017-2022),Biology,0.35450195440051413,-2.9167186971320493,14.698544,-36.700096
Transformer-XL + SIS,INRIA,France,Europa,Era Transformer (2017-2022),Language,0.10194477638495134,-2.2585814664868265,-17.81481,-21.896679
ViT + DINO,"INRIA,Facebook AI Research",France,Europa,Era Transformer (2017-2022),Vision,-0.6130373339889048,0.029284338949421874,-26.795639,12.76694
PanGu-α,Huawei Noah's Ark Lab,China,China,Era Transformer (2017-2022),Language,1.8273319733214781,0.5253615609426058,7.4465437,28.130085
DiffQ Transformer (16L),Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7024218668060379,0.061326919993900136,1.8494697,25.644373
Transformer-C,University of Massachusetts Amherst,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.2824379854914032,-2.3239522462055846,-18.7112,-20.410055
T2R + Random Init,"University of Washington,Microsoft,DeepMind,Allen Institute for AI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.06426438115821562,-1.9701795938961582,-15.937262,-21.483343
T2R 75% + Pretrain (WT-103),"University of Washington,Microsoft,DeepMind",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.06614395917651725,-1.9700689658895023,-15.912485,-21.502659
T2R + Pretrain,"University of Washington,Microsoft,DeepMind",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.06517586769877723,-1.969905706126469,-15.908048,-21.502758
GPT-Neo-2.7B,EleutherAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.1956780805825957,-0.2727778430605561,2.9594414,-8.326047
GLM-10B,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,Massachusetts Institute of Technology (MIT),Shanghai Qi Zhi institute",China,China,Era Transformer (2017-2022),Language,0.8502311474434301,-1.1688706512025042,-1.4539258,-11.330818
ResNet-RS,"Google Brain,University of California (UC) Berkeley",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.6909852630771407,1.6088435583026321,-25.313892,18.305796
M6-T,Alibaba,China,China,Era Transformer (2017-2022),Multimodal,2.1692771370837036,1.12404523958321,33.62589,7.5289574
Generative BST,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.742894893529397,0.8517787587463111,11.366549,-1.5661936
RFA-GATE-Gaussian-Stateful Big,"University of Washington,DeepMind,Allen Institute for AI,Hebrew University of Jerusalem,The University of Hong Kong",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.27976606941713433,-1.7014380468200516,-14.400861,-20.812103
Meta Pseudo Labels,"Google Brain,Google AI",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.43209122853184134,1.6672387739728503,-24.423344,19.80058
SRU++ Large,ASAPP,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.0642942556177486,0.15817956035584976,6.4847865,-0.69764715
SRU++ Base,ASAPP,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.641093853978649,0.03686569017645755,1.4712284,25.349092
SRU++ Large only 2 attention layers (k=5) (WT103),ASAPP,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7056683933197602,0.04820748123535154,1.7720072,25.680153
Linear Transformer (large),IDSIA,Switzerland,Europa,Era Transformer (2017-2022),Language,-0.4145199735987199,-1.7660635596981578,-14.859672,-20.024189
Linear Transformer (small),"IDSIA,SUPSI",Switzerland,Europa,Era Transformer (2017-2022),Language,-0.5515845002614043,-1.7900530487728594,-15.178922,-19.514273
MSA Transformer,"Facebook AI Research,University of California (UC) Berkeley,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.1889492642158235,0.14225630185495283,18.510677,-28.525675
Selfish-RNN (SNT-ASGD) Stacked LSTMs,"Eindhoven University of Technology,University of Twente",Netherlands,Europa,Era Transformer (2017-2022),Language,-0.4425647961010806,-2.107933031585022,-5.412878,-13.109093
DeiT-B,"Meta AI,Sorbonne University",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.1365078120350525,2.13167387647737,-25.451328,17.237131
Switch,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,2.355063229187978,1.1587158473866754,15.460584,-2.8971748
DALL-E,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.4115065595387553,1.857590757698891,15.832561,14.222094
CLIP (ViT L/14@336px),OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Multimodal,1.4936196866279674,2.261643831795544,31.355263,6.4909606
Transformer-XL + AutoDropout (PTB),Google Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.06230394245039325,-0.04269615010506281,0.39161733,24.856834
Subformer (122M),"National Institute of Advanced Industrial Science and Technology (AIST),University of Tokyo",Japan,Asia-Pacífico,Era Transformer (2017-2022),Language,-0.29376628818196415,-2.077205593810974,-16.9917,-20.37712
Subformer (83M),"University of Tokyo,National Institute of Advanced Industrial Science and Technology (AIST)",Japan,Asia-Pacífico,Era Transformer (2017-2022),Language,-0.35890137739025524,-2.0886055534344883,-17.260515,-19.826956
Subformer (96M),"University of Tokyo,National Institute of Advanced Industrial Science and Technology (AIST)",Japan,Asia-Pacífico,Era Transformer (2017-2022),Language,-0.334269930024599,-2.08429471535061,-17.15787,-20.062597
AraGPT2-Mega,American University of Beirut,Lebanon,Otro,Era Transformer (2017-2022),Language,0.6450476717003716,-1.684330170754579,-2.923064,-12.769385
Shortformer,"University of Washington,Facebook AI Research,Allen Institute for AI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.3260891772373237,-1.9580880725274081,-16.056252,-20.043951
ERNIE-Doc (247M),Baidu,China,China,Era Transformer (2017-2022),Language,1.0326831720656198,0.2055820201562457,6.535327,-0.6744609
"ERNIE-Doc Base (151M, WT103)",Baidu,China,China,Era Transformer (2017-2022),Language,0.8021584214605976,0.16617525720063928,6.357177,-0.5795292
CT-MoS (WT2),"Google,National Tsing Hua University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.23858198838373382,-0.09880922611644896,0.3305971,25.183632
CT-MoS + DynamicEval (WT2),"National Tsing Hua University,Google",Taiwan,Otro,Era Transformer (2017-2022),Language,-0.5727532357241102,-2.2021037176386207,-18.4882,-19.332983
ESM1b,"Facebook AI Research,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.272467582394223,0.4569809708169502,18.481283,-27.521862
CPM-Large,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",China,China,Era Transformer (2017-2022),Language,0.5775079586504903,-1.6981227835248869,-3.1589317,-12.762188
AlphaFold 2,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Biology,0.928288048104462,0.8785654055812504,19.167027,-27.301493
KEPLER,"Tsinghua University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),HEC,CIFAR AI Research,Princeton University,University of Montreal / Université de Montréal",China,China,Era Transformer (2017-2022),Language,-0.09196109407153094,-1.5182634515083546,-13.888902,-21.69449
AWD-FWM (WT2),"IDSIA,Microsoft Research",Switzerland,Europa,Era Transformer (2017-2022),Language,-0.6000147762689862,-2.09715482907743,-17.87683,-19.088661
ViT-Huge/14,"Google Brain,Google Research",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.4658864793491361,2.581334167915112,-26.35821,17.183168
wave2vec 2.0 LARGE,Facebook,United States of America,Anglosphere,Era Transformer (2017-2022),Speech,0.1689373579089676,1.8618672431648995,-6.6083713,3.2173064
GBERT-Large,"deepset,Bayerische Staatsbibliothek Muenchen",Germany,Europa,Era Transformer (2017-2022),Language,1.2669286248700633,0.5564225440971853,7.923682,-0.8402834
German ELECTRA Large,"deepset,Bayerische Staatsbibliothek Muenchen",Germany,Europa,Era Transformer (2017-2022),Language,1.2387810104089658,0.5516757066623631,7.857041,-0.7944382
Conformer + Wav2vec 2.0 + Noisy Student,"Google,Google Research,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Speech,0.07503117127887968,1.1972191201762383,-6.747727,3.4370093
mT5-XXL,"Google,Google Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.7903090141403981,1.0771387111626098,13.356366,-1.2486674
Memformer (4 encoder + 16 decoder),"UC Davis,Westlake University,Facebook AI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.35073806933988233,-2.035919463369943,-16.796307,-19.9062
LUKE,"University of Washington,National Institute of Informatics",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.5907740683972528,-1.3642011350634773,-2.5411325,-11.829437
ProBERTa,"University of Illinois Urbana-Champaign (UIUC),Reed College",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,-0.08105485988946301,-2.3769610123420333,10.600517,-34.604847
ESM1-670M (UR50/S),"Facebook AI Research,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.1225944809929587,0.431733672610423,18.750933,-27.757174
ESM1-670M (UR50/D),"Facebook AI Research,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.1280131610803041,0.43264748338900555,18.726723,-27.737724
ESM1-670M (UR100),"Facebook AI Research,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,1.0512807536462183,0.4197072655039142,18.962206,-27.920044
ESM1-85M,"Facebook AI Research,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.7739426865374592,0.3707120286140378,19.223465,-28.266695
ESM1-43M,"Facebook AI Research,New York University (NYU)",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.656864944503876,0.35022145612831596,19.299679,-28.3963
Transformer+Recurrent Windows of Context,"Toyota Technological Institute at Chicago,University of Chicago",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.049382323057009986,-2.375695986930457,-18.642296,-21.59712
ERNIE-GEN (large),Baidu,China,China,Era Transformer (2017-2022),Language,1.1535072012498508,0.37069462627658495,7.0759063,-0.75352997
DeLighT,"University of Washington,Allen Institute for AI,Facebook AI Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.4110917965442729,-1.9674629488585786,-16.294195,-19.59007
mBART-50,Facebook AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.4268346462755916,0.6794065029610448,8.780299,-0.98774517
DLRM-2021,Meta AI,United States of America,Anglosphere,Era Transformer (2017-2022),Recommendation,1.4258426006402292,0.7299035317790672,4.9333005,22.664822
GShard (dense),Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.2094598403269339,0.8115899260226782,7.6005836,26.366405
GShard (600B),Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.7242981360463236,0.9044150200099145,9.754066,27.285688
GPT-3 6.7B,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.0933833344157178,1.4665351160090365,11.77321,25.69302
GPT-3 XL,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.8197581917400918,1.418644756116961,11.740938,25.155617
GPT-3 Small,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.4210995663917724,1.3488718762282363,11.700512,24.647312
GPT-3 Medium,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.5980898475245627,1.3798487313590635,11.71919,24.831089
GPT-3 Large,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7263959962832934,1.4023045186298615,11.731979,25.002464
GPT-3 2.7B,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.9374958996460598,1.439251971279928,11.748676,25.37544
GPT-3 13B,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.2043692472997962,1.485960871516567,11.806868,25.943907
iGPT-XL,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.9900537335311775,2.002861880982904,-26.105518,18.30059
iGPT-L,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Image generation,1.459850086748039,1.6977333866140245,16.039959,13.387169
6-Layer-Tensor-Transformer+AdaHessian,"NERSC, Lawrence Berkeley National Laboratory,University of California (UC) Berkeley",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.10421394870226554,-0.7073229693865954,-14.747238,-18.619812
GPT-3 175B (davinci),OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.6455723486350287,1.56318042607071,12.016153,26.834686
GPT3-6.7B (rerun of original),"Microsoft,OpenAI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.3198240511822719,0.4471078744191252,5.493694,26.70744
DETR,Facebook,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,0.11678722589627868,2.2869358361445915,-25.697214,17.072796
rTop-k(distributed setting),Stanford University,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.7822073078331842,-2.1001999970137675,-18.314957,-18.701874
ONLSTM-SYD,"Westlake University,Institute for Advanced Study,McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),CIFAR AI Research,University of Montreal / Université de Montréal",China,China,Era Transformer (2017-2022),Language,-0.6899222240736382,-2.3681564485938003,-19.43262,-19.222761
NAS+ESS (156M),"Northeastern University (China),Chinese Academy of Sciences,NiuTrans Research,Kingsoft",China,China,Era Transformer (2017-2022),Language,-0.2958358644498838,-2.339846489646038,-18.864092,-20.34695
UnifiedQA,"Allen Institute for AI,University of Washington",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.9115754229781605,-0.31283315956192637,2.5379732,-8.041522
"Segatron XL large, M=384","University of Waterloo,Peking University,RSVP.ai",Canada,Anglosphere,Era Transformer (2017-2022),Language,0.2793536578147917,-2.1785360420889504,-4.8882,-13.220148
Once for All,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT),IBM",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.7856136012036281,-0.30499361376980294,-26.682255,12.610043
DiffStk-MRNN,"Pennsylvania State University,Rochester Institute of Technology",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.4164125571331438,-2.5066055500583913,-20.551826,-18.660315
MetNet,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Earth science,0.2887993681424904,0.6459224675245503,2.9092886,21.902193
ELECTRA,"Stanford University,Google,Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.38314885586896075,-1.1255720305707606,-2.411183,-11.008747
Tensor-Transformer(1core)+PN (WT103),University of California (UC) Berkeley,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.07483647566638271,-1.9550423333952933,-4.9521585,-13.020168
ProGen,"Salesforce Research,Stanford University",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,0.874866019810761,-0.06892698718287907,17.57463,-31.021517
TransformerXL + spectrum control,"University of California Los Angeles (UCLA),JD.com",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.2420975726499838,-1.9547907070025319,-15.97504,-20.402773
LSTM-3-layer+Gadam,"University of Oxford,University of Bristol,University of Cambridge",United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Language,-0.7565876265738174,-2.568978832536372,-20.15669,-19.2997
Feedback Transformer,"LORIA,University of Lorraine,Facebook AI Research",France,Europa,Era Transformer (2017-2022),Language,-0.3060795796239829,-2.1151874654857186,-17.446165,-20.238289
Turing-NLG,Microsoft,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.462211523676504,0.34942373844312036,5.3095393,27.309723
ALBERT-xxlarge,"Toyota Technological Institute at Chicago,Google",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.2932730588128998,-0.9733943893793225,-2.295943,-10.6595955
TaLK Convolution,Carleton University,Canada,Anglosphere,Era Transformer (2017-2022),Language,-0.1465388611182276,-2.1462709784643974,-17.373991,-20.962242
Meena,Google Brain,United States of America,Anglosphere,Era Transformer (2017-2022),Language,1.2951105881500944,0.7356107459021531,7.2934513,26.482758
AlphaFold,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Biology,0.244854914530844,0.23996932117628073,17.90821,-30.756287
OpenAI Five,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Games,-0.10489574315975556,1.3918258168809263,-7.238894,15.712591
OpenAI Five Rerun,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Games,-0.207011632704121,1.374604907171178,-7.176468,15.806317
MMLSTM (WT-103),"Beijing University of Posts and Telecommunications,University of West London",China,China,Era Transformer (2017-2022),Language,-1.2384305076331583,-1.9574275581158003,-15.948292,-7.1775007
MMLSTM (WT-2),"Beijing University of Posts and Telecommunications,University of West London",China,China,Era Transformer (2017-2022),Language,-1.482943547266805,-1.999571226371018,-16.439487,-7.270626
MMLSTM (PTB),"Beijing University of Posts and Telecommunications,University of West London",China,China,Era Transformer (2017-2022),Language,-1.6022243951371715,-2.020136008296656,-17.11419,-6.80592
bRSM + cache,"Numenta,Incubator 491",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.3014322675969014,-0.23788594403623273,-2.3465154,17.152437
Transformer-XL DeFINE (141M),"University of Washington,Allen Institute for AI",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.2026339550108147,-1.885689767347732,-15.761541,-6.8912992
MuZero,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,-0.717254695167885,1.3117172648645634,-6.949745,16.410177
Noisy Student (L2),"Carnegie Mellon University (CMU),Google",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-1.3563849437179925,0.13004795513932946,-24.27602,10.652698
Sandwich Transformer,"Allen Institute for AI,Facebook AI Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.6214022082032208,-0.5784920213049874,-2.625179,14.533038
CamemBERT,"Facebook,INRIA,Sorbonne University",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.3225760724158452,1.0881936980100895,-0.01303768,10.234178
Self-Attention and Convolutional Layers,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Switzerland,Europa,Era Transformer (2017-2022),Vision,-2.251801280988894,-0.3067517492559998,-24.41254,10.618986
XLM-RoBERTa,Facebook AI,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.49455615228883504,1.4992958739885789,0.8552131,9.693148
Base LM + kNN LM + Continuous Cache,"Stanford University,Facebook AI Research",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.1104032483079156,-1.1858757765337153,-14.633433,-5.353616
AlphaStar,DeepMind,United Kingdom of Great Britain and Northern Ireland,Anglosphere,Era Transformer (2017-2022),Games,-0.11879977082415535,1.5257502143400066,-7.3589134,15.66263
T5-3B,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.5693227253838435,1.7338798107196194,1.2552048,9.111653
T5-11B,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.7963858045097456,1.7736479824668592,1.4601984,8.9700165
LSTM(large)+Sememe+cell,"Tsinghua University,Beijing University of Posts and Telecommunications,Huawei Noah's Ark Lab",China,China,Era Transformer (2017-2022),Language,-1.5732530039309252,-2.01437374982995,-16.976492,-6.869292
Rubik's cube ADR robot,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Robotics,-0.5466163722613052,1.2389072358512991,-6.9062915,16.294376
AlphaX-1,"Facebook AI Research,Brown University",United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-1.5297668425053754,1.4288638730358294,-22.239737,16.096706
DistilBERT,Hugging Face,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.20030103451479522,1.4094176666252765,-0.0037664308,9.77019
Megatron-BERT,NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.3681859134531451,1.2074410154401614,-5.231224,13.54975
Megatron-LM (8.3B),NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.3938846103350593,1.2125896418827247,-5.2261753,13.515475
Hide and Seek,OpenAI,United States of America,Anglosphere,Era Transformer (2017-2022),Games,-1.2370382527802792,0.9972999230811024,-6.307748,17.159266
Megatron-LM (2.5B),NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.1816386184659722,1.1755018061056948,-5.2179027,13.730854
Megatron-LM (355M),NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.2384581744397307,1.2324290123340556,0.15286632,10.031168
Megatron-LM (1.2B),NVIDIA,United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.20079989922853056,1.1779413925945397,-5.2297935,13.729113
ResNet-152 + ObjectNet,Massachusetts Institute of Technology (MIT),United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-2.072569086965589,-0.009491432880803756,-24.290606,10.629129
"DEQ-Transformer (Medium, Adaptive Embedding)","Carnegie Mellon University (CMU),Intel Labs",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.025864449511763,-1.1682798137892723,-10.32692,-7.7049537
R-Transformer,"Michigan State University,TAL Education Group (Xueersi)",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.8247650487986888,-1.7216593003534237,-16.649166,-6.0811334
All-attention network + adaptive span,Facebook AI Research,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.3484295586154295,0.5491118402915574,-3.7795663,15.3366165
RoBERTa Large,"Facebook,University of Washington",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.3386481236477783,1.723514224082023,0.8030048,9.010702
RoBERTa Base,"Facebook,University of Washington",United States of America,Anglosphere,Era Transformer (2017-2022),Language,0.12056104992564806,1.6856098057315645,0.4760094,9.194391
Tensorized Transformer (257M),"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",China,China,Era Transformer (2017-2022),Language,-1.1538381740281327,-1.5119460852174003,-15.081878,-5.978857
Tensorized Transformer (OBW),"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",China,China,Era Transformer (2017-2022),Language,-1.104019471490579,-1.5040558514319602,-15.011013,-5.972589
Tensorized Transformer (PTB),"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",China,China,Era Transformer (2017-2022),Language,-1.9653143472173542,-1.6520996624528939,-16.714834,-5.819202
Tensorized Transformer (W103),"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",China,China,Era Transformer (2017-2022),Language,-1.3403211953680099,-1.5445845225517563,-15.507362,-5.9568133
TAPE Transformer,"University of California (UC) Berkeley,Covariant,Google,Chan Zuckerberg Initiative",United States of America,Anglosphere,Era Transformer (2017-2022),Biology,-0.9513607831166473,-1.634119960335059,8.807058,-34.060265
AWD-LSTM + MoS + Partial Shuffled,University of Texas at Austin,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-1.1321951763869509,-1.5398713938125892,-11.012469,-7.7459774
Transformer-XL Large + Phrase Induction,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.7776752938716386,-1.933988601867188,-15.257031,-7.0660067
XLNet,"Carnegie Mellon University (CMU),Google Brain",United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.45100970630201737,-0.5920376890319337,-9.447051,-7.748153
DLRM-2020,Facebook AI,United States of America,Anglosphere,Era Transformer (2017-2022),Recommendation,0.014273900327480406,1.2476026532920248,-7.000797,15.414565
Grover-Mega,University of Washington,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.22531195055198602,-0.9510914336179227,-9.510634,-7.7704124
MnasNet-A3,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.8288692245218487,2.274102291538399,-23.790165,16.352684
MnasNet-A1 + SSDLite,Google,United States of America,Anglosphere,Era Transformer (2017-2022),Vision,-0.8352164121555099,2.2729677919395535,-23.786694,16.35128
AWD-LSTM-DRILL + dynamic evaluation† (WT2),IDIAP,Switzerland,Europa,Era Transformer (2017-2022),Language,-1.0064372535732533,-2.0467710551989113,-11.476865,-7.7980924
BERT-Large-CAS (PTB+WT2+WT103),Amazon,United States of America,Anglosphere,Era Transformer (2017-2022),Language,-0.06581976209903687,0.5717735938623818,-3.8709867,14.905615
